spotid	spotname	geo-coordinates
1523949	Wok & Roll	POINT(-74.178061 40.6813)
905937	Levy Playground	POINT(-74.1290283203 40.634223938)
546665	Boss	POINT(-74.16597181 40.69100838)
6695572	Ace Auto Salvage 	POINT(-74.1271752119 40.6342703104)
7582428	E-158 Firehouse	POINT(-74.160708189 40.6352466345)
759717	Houlihan's	POINT(-74.0994741618 40.6621831388)
7083649	Wendy's - Newark Terminal B	POINT(-74.16874861 40.69036227)
188275	Sunny's	POINT(-74.10152286 40.67493581)
1090511	40th Street Florist	POINT(-74.10404348 40.68068158)
3937313	Ten East	POINT(-74.099024838 40.670383532)
1696082	Joe Holzka Community Garden	POINT(-74.1215693951 40.6345220204)
6006967	La Familia Restaurant	POINT(-74.122187029 40.634255133)
1061021	Ralph's Famous Italian Ices	POINT(-74.1395884752 40.630402565)
6712944	Brooklyn National Deli	POINT(-74.175314 40.687939)
1061003	Denino's Pizzeria Tavern	POINT(-74.1401396692 40.6301490249)
367959	45th Street Station	POINT(-74.1013560167 40.67896295)
1109023	Bayonne Animal Hospital	POINT(-74.1074347333 40.6868680833)
414517	Snug Harbor	POINT(-74.10700684 40.64217877)
1553137	Sandella's Flatbread Cafe	POINT(-74.1769695 40.687823675)
356605	O'Brien's Grille & Pub, EWR	POINT(-74.1769301891 40.687862635)
6617905	Champs	POINT(-74.17683965 40.6881183)
6740470	Casciano Memorial Bridge	POINT(-74.119355863 40.695534114)
472366	Dick Clark's American Bandstand Grill	POINT(-74.1797861378 40.6861692595)
7105877	Terminal B @ EWR Baggage Claim	POINT(-74.17698198 40.68899649)
543195	Veterans Hall Theater	POINT(-74.1034770054 40.6438767105)
6725115	EWR Gate 68	POINT(-74.174952871 40.690811481)
917540	Da Noi	POINT(-74.1036619827 40.6857801411)
7171252	Lufthansa Senator Lounge	POINT(-74.174190158 40.691815741)
568061	Java Moon	POINT(-74.1792901263 40.6879116067)
356601	Samuel Adams Pub	POINT(-74.1743016243 40.6919749432)
486869	SAS Business Lounge	POINT(-74.1746020317 40.6918081779)
220782	Delta Sky Club	POINT(-74.1788519538 40.6887072599)
356610	Starbucks - Terminal B, EWR	POINT(-74.1777133942 40.6897093409)
977344	Hilton Newark	POINT(-74.18363183 40.68396687)
243637	Admirals Club	POINT(-74.1806650466 40.6872560481)
356618	Asian Chao, EWR	POINT(-74.1774129868 40.6901567729)
4837436	British Airways Terrace Lounge	POINT(-74.174604449 40.69218831)
206537	EWR Terminal B	POINT(-74.1765761375 40.6908075778)
1134296	The Grove	POINT(-74.1722124333 40.6938958)
356558	Chili's Too, EWR	POINT(-74.1766834259 40.690970278)
486853	Wolfgang Puck Express	POINT(-74.1748563333 40.6923075833)
346861	Golden Krust	POINT(-74.1773124646 40.6905743382)
190815	Budweiser Brew House	POINT(-74.1814372869 40.6870762307)
356852	The Guinness Pub, EWR	POINT(-74.1725742817 40.6939394874)
6702279	Blue Point RA Bar	POINT(-74.17790818 40.690331188)
6906614	The Grove	POINT(-74.182497101 40.686149668)
555913	Virgin Clubhouse	POINT(-74.17673729 40.6912522105)
570351	Leidys Shore Inn	POINT(-74.1015462667 40.6432945833)
570146	R.H. Tuggs	POINT(-74.1016240333 40.6432007833)
7514336	Earl Of Sandwich	POINT(-74.18298244 40.68605628)
951348	The Grain Station	POINT(-74.1829043333 40.6862060167)
6681274	The Vortex Of Lost Luggage	POINT(-74.178252005 40.690584566)
338320	New Jersey Turnpike (near EWR)	POINT(-74.1547860653 40.7009723148)
5710518	Broadway Diner	POINT(-74.100466 40.6846955)
773218	Jet Airways Business Lounge	POINT(-74.1770927567 40.6914959041)
1563127	Massage Bar	POINT(-74.181932717 40.68736115)
570707	Adobe Blues	POINT(-74.1010601667 40.6432708667)
7346608	Pilot Air Freight	POINT(-74.190765009 40.674009285)
4592935	Staten Island Children's Museum	POINT(-74.10147684 40.64273124)
568906	President's Club - Terminal A, EWR	POINT(-74.1819961258 40.6877259768)
794104	BA Business Lounge	POINT(-74.1766362523 40.6922012248)
915200	Snug Harbor	POINT(-74.1004765034 40.6435453892)
176536	EWR Terminal A	POINT(-74.1826701164 40.687276885)
1049017	Starbucks - Terminal A, EWR	POINT(-74.1825842857 40.6875941669)
1086248	Cape Liberty	POINT(-74.106184 40.63782429)
7610983	Garden State Diner	POINT(-74.173540365 40.694632975)
3121647	Nurnberger German Restaurant 	POINT(-74.10964965 40.6352198)
6905974	Villa Fresh Italian Kitchen	POINT(-74.182971364 40.687474924)
1285466	Wakefern Food Corp HQ	POINT(-74.1929805279 40.6672078371)
3139289	Blue And Gray	POINT(-74.110167112 40.634737815)
1943259	Green Leaf Grill	POINT(-74.173664833 40.69486265)
2111934	Great American Bagel	POINT(-74.183237 40.687436)
356819	McDonald's, EWR	POINT(-74.1739958525 40.6946716009)
7072480	CSI 1P	POINT(-74.191066 40.653242)
3139439	Jacques Ribs & Grill	POINT(-74.110054942 40.634704627)
7422135	UPS Flight ops	POINT(-74.187278154 40.68264279)
356563	T.G.I. Friday's, EWR	POINT(-74.1831207275 40.6876023023)
134031	Presidents Club Gate 71	POINT(-74.1735199167 40.6950760167)
356837	Dunkin' Donuts - Terminal C, EWR	POINT(-74.1740173101 40.6947936191)
7586366	Dufry	POINT(-74.17422908 40.69467699)
356841	Ben & Jerry's, EWR	POINT(-74.1740334034 40.6948586953)
356975	Wok & Roll, EWR	POINT(-74.1737222672 40.6950620582)
622683	Pathmark 	POINT(-74.13113886 40.62665605)
502787	Brothers Pizza	POINT(-74.1440989833 40.62567505)
7003268	Qdoba Mexican Grill	POINT(-74.183059 40.688034)
661835	Dunkin' Donuts	POINT(-74.13108807 40.62661439)
24963	EWR Newark Liberty International	POINT(-74.1795158386 40.6912468675)
743957	Staten Island Philharmonic	POINT(-74.1035918257 40.6390227495)
546652	Brooks Brothers	POINT(-74.17465115 40.6947595167)
546657	Vino Volo	POINT(-74.17465115 40.6947595167)
6742525	Home	POINT(-74.1526937485 40.6262934208)
2568979	Dick Clarks	POINT(-74.173979759 40.695232882)
381858	Caliente Cab Co.	POINT(-74.1765790554 40.6936779744)
606215	The Toy Club	POINT(-74.1378503167 40.6255521333)
687117	Garden State Diner	POINT(-74.1767316259 40.6936018334)
606218	Kid's Place	POINT(-74.1378809 40.6255291833)
606226	Party City	POINT(-74.1378504333 40.6255225833)
606231	Sneaker & Cap Zone	POINT(-74.1378763667 40.62551995)
606237	Payless	POINT(-74.13788715 40.6255105667)
606247	Pete Milano's	POINT(-74.1378540333 40.6255017333)
52054	Egger's Ice Cream Shoppe	POINT(-74.1302516571 40.6264052152)
566696	That's A Wrap	POINT(-74.1303165667 40.6263874333)
566701	Walgreens	POINT(-74.1302919167 40.62637645)
566687	Forest Thai Cuisine	POINT(-74.1302277667 40.6263797333)
309147	Brooklyn Bar Newark Airport - Terminal C, EWR	POINT(-74.17400461 40.69558399)
1526054	Grand Central Oyster Bar	POINT(-74.175563166 40.694638915)
740422	Perkins	POINT(-74.1469114333 40.6252793167)
1222179	Quick Lube Center	POINT(-74.1310536861 40.6260627508)
1222163	Larissa Buerano's State Farm Insurance Agency	POINT(-74.1310751438 40.6260573864)
621482	Pep Boys	POINT(-74.15341395 40.6259735333)
6395207	Hudson Booksellers	POINT(-74.172955722 40.696331357)
7219346	Time Warner Cable	POINT(-74.168525792 40.63039185)
83748	Druken Monkey	POINT(-74.1299990197 40.6261734707)
497530	My Attic Nest	POINT(-74.0991173833 40.6426522167)
64593	Redroom	POINT(-74.1300034057 40.6261657281)
1053522	Unitarian Church of Staten Island	POINT(-74.098829627 40.6429606676)
529679	Chic-N-Bones	POINT(-74.1299992284 40.6261552754)
529676	Blockbuster Video	POINT(-74.1299992284 40.6261552754)
529707	Bon Chon	POINT(-74.129997746 40.6261524397)
1444370	7-11	POINT(-74.1350276349 40.6253895316)
260595	Interterminal Bus	POINT(-74.1758124833 40.6947448667)
386421	Touchless Auto Wash	POINT(-74.1555041 40.6261767333)
3555249	Blessed Sacrament Church	POINT(-74.12516005 40.627091383)
328905	Interterminal Bus	POINT(-74.1837641971 40.6887805321)
3976187	Currito Cantina	POINT(-74.18557663 40.686954595)
6725209	Astor Place II	POINT(-74.135533367 40.62508068)
6783065	Jo-Anns Fabric	POINT(-74.1558988 40.6260342)
480588	Rinconcito Paisa	POINT(-74.1366344 40.6249001)
205645	The Staaten	POINT(-74.1273159333 40.62632345)
294534	United Airlines Red Carpet Club - EWR	POINT(-74.1839945894 40.6888735977)
6695923	R&L press	POINT(-74.1192734241 40.6283640862)
1707042	Kohl's	POINT(-74.1641505 40.62781795)
7106746	Bowling	POINT(-74.098581 40.687049)
6783057	Strauss Auto	POINT(-74.1578274965 40.6258267164)
3229525	NWR Heineken Lounge	POINT(-74.1779097667 40.69462545)
562012	Marriott Newark Liberty Airport	POINT(-74.1810362333 40.69233065)
162647	Lava	POINT(-74.1898349167 40.6456165333)
664011	Meditation Room	POINT(-74.1772167847 40.6953804531)
1297740	Chatfield's	POINT(-74.1816025972 40.6922596693)
707287	360 Vantage mobile office	POINT(-74.1754281521 40.6966745853)
621622	White Castle	POINT(-74.1641151029 40.6270869861)
243314	EWR Terminal C	POINT(-74.1771554947 40.6956965463)
7104785	Crumbs Bakery	POINT(-74.177139612 40.695734354)
6464016	EWR Terminal C Baggage Claim	POINT(-74.179121 40.6944599)
621602	Checkers	POINT(-74.1642136333 40.6269965667)
7412471	[[	POINT(-74.1771932504 40.6958254454)
1114947	Terminal C Shoeshine	POINT(-74.1771932504 40.6958254454)
40565	Starbucks - Terminal C, EWR	POINT(-74.177197196 40.6958449006)
252074	Au Bon Pain	POINT(-74.1770980928 40.6959133888)
4594408	Bank of America	POINT(-74.163044835 40.626560385)
416407	Continental President's Lounge	POINT(-74.1772003246 40.6958694446)
782772	Steak Escape	POINT(-74.1782448207 40.6951900508)
7467414	Dunkin Donuts	POINT(-74.16360865 40.626666583)
949165	Continental President's Club - EWR Terminal A	POINT(-74.1875319033 40.6872546684)
1096729	Hertz	POINT(-74.1850782333 40.6898843333)
356629	Heineken Lounge, EWR	POINT(-74.1763186455 40.6965872598)
1261851	Newark Airport Express Bus Stop	POINT(-74.1781409333 40.69544395)
1175079	AirTrain Station C	POINT(-74.1778035649 40.6956774321)
592078	Adobe Blues	POINT(-74.0956159773 40.6436150599)
7604313	Newark-continental	POINT(-74.175595833 40.697135278)
721084	Ruby's Diner	POINT(-74.17756044 40.69593542)
748287	Jamba Juice	POINT(-74.17756968 40.69594961)
6435660	Famiglia Pizzeria	POINT(-74.175470333 40.697260083)
7106841	Seven 4 Seven Steak House & Sports Bar	POINT(-74.113988485 40.62925836)
245193	Bamboleo Nightclub, Elizabeth, NJ	POINT(-74.1926854849 40.6485215483)
7018344	Planet Wings 	POINT(-74.1633313894 40.6262934208)
356546	Samuel Adams Brew House	POINT(-74.1752564907 40.6974738943)
903634	Maui Tacos	POINT(-74.17855954 40.69544726)
669995	Perkins Restaurant & Bakery	POINT(-74.19416207 40.67768537)
910250	Frank's Coffeehouse At Newark Airport	POINT(-74.1754419667 40.6974773333)
518733	Forest Laundry	POINT(-74.1142428328 40.6289119684)
1276055	Jake's Coffeehouse	POINT(-74.175481333 40.697517133)
3412028	Tony Roma's 	POINT(-74.1814456536 40.693609526)
1131767	Jamba Juice - Newark Airport	POINT(-74.17746 40.696413)
546957	Gallaghers	POINT(-74.1780482073 40.6960506925)
646576	Landing	POINT(-74.0950047833 40.6435518333)
646590	Saquella Coffee	POINT(-74.0949670333 40.64358735)
646572	Spot Name	POINT(-74.0950284333 40.6434915667)
575485	Picacho Liquor	POINT(-74.1944235563 40.6504558309)
661559	Duffy's	POINT(-74.1113457 40.629843)
707039	Starbucks	POINT(-74.174431 40.698607)
757744	Air Train Newark Station P3, EWR	POINT(-74.1908025742 40.6847833222)
5633184	Hamachi Sushi	POINT(-74.177995315 40.696933872)
356936	Borders	POINT(-74.1782766581 40.696806886)
757539	Air Train Newark Station P1, EWR	POINT(-74.1873908043 40.6895873134)
356949	The Metropolitan Museum Of Art Store, EWR 	POINT(-74.1785931587 40.6967906174)
326825	Crowne Plaza Newark Airport	POINT(-74.1951237011 40.6786880557)
656909	The Home Depot	POINT(-74.1725756167 40.6285711833)
661607	Burrito Bar	POINT(-74.1090658667 40.6302096833)
7104647	The Cityline Church	POINT(-74.101117655 40.693312118)
1393232	Pronto Pizza - Forest	POINT(-74.10869318 40.63023567)
694688	Panini Grill	POINT(-74.1081476212 40.6303451006)
687580	Planet Fitness	POINT(-74.1082122 40.6302678)
429650	Dungeon	POINT(-74.09940892 40.6365059)
6976698	Le Grand Comptoir	POINT(-74.182542 40.694931)
1330313	Dollar Rent A Car	POINT(-74.19102725 40.6868207833)
1012815	Continental Quickpak	POINT(-74.18228459 40.69522529)
649310	Budget	POINT(-74.1904592514 40.6877202657)
893638	Hertz	POINT(-74.1900730133 40.6881880494)
1196556	Hampton Inn Newark	POINT(-74.192858501 40.684667893)
262963	SpringLane Motel	POINT(-74.195523262 40.6804671635)
552956	Christopher Michael Salon	POINT(-74.1075736667 40.6300943833)
6463958	Fuel Bio, New Jersey Terminal	POINT(-74.1949734 40.64723247)
757624	Air Train Newark Station P2, EWR	POINT(-74.1910171509 40.6875290836)
7116976	Smashburger	POINT(-74.178786141 40.698081429)
575705	Baskin Robbins	POINT(-74.1980659961 40.6538358578)
356567	Brooklyn Brewery Jazz Bar	POINT(-74.1788506508 40.6982385054)
575596	Dunkin' Donuts	POINT(-74.1981437802 40.6536140551)
82640	President's Club	POINT(-74.1784858704 40.6984703273)
668537	National Car Rental 	POINT(-74.1881632805 40.690970278)
451094	Avis	POINT(-74.1875788 40.6916217667)
7135484	Hun's House	POINT(-74.0917372 40.64364524)
4361699	Juan Valdez Café	POINT(-74.179282167 40.698103867)
935602	Starbucks Coffee	POINT(-74.1060613 40.6304812167)
707277	360 Vantage virtual office	POINT(-74.181426 40.69682)
6695460	Richmond University Medical Center	POINT(-74.10400301 40.63167965)
783233	Perkins Restaurant	POINT(-74.1976222 40.6778404)
763099	Dollar Rent A Car	POINT(-74.1914618667 40.6881223)
356355	EWR Air Train Station P4	POINT(-74.18217659 40.6967174087)
935621	Key Food Market	POINT(-74.1042388676 40.630772286)
309450	UA All Staten Island Stadium 16	POINT(-74.1728771167 40.6264833833)
56966	Hilton Newark Airport	POINT(-74.19344505 40.6863469667)
74929	Staten Island Zoo	POINT(-74.11711835 40.6241291667)
6782439	Subway	POINT(-74.035502 40.659213)
6773123	Statue Of Liberty Crown	POINT(-74.02118175 40.6577335)
1100002	Water Taxi Stop - Fairway	POINT(-74.0176755333 40.6740479833)
1502390	Brooklyn Waterfront Artists Coalition	POINT(-74.016340971 40.6732213497)
224081	Parachutes HQ	POINT(-74.017188549 40.6739171334)
224100	Fairway Market	POINT(-74.0170758963 40.6741449713)
389724	IKEA Water Taxi	POINT(-74.0138091255 40.671293144)
832152	Water Taxi	POINT(-74.0212956667 40.6770218167)
1010222	Erie Basin Park	POINT(-74.0129721165 40.6718502822)
33213	Sunny's Bar	POINT(-74.01691275 40.6758035333)
808578	Chelsea Garden Center	POINT(-74.0155922667 40.6751486667)
757016	Steve's Authentic Key Lime Pies	POINT(-74.0178595167 40.6767799)
1381384	Waterfront Museum	POINT(-74.009607 40.666789)
1469733	Hope & Anchor	POINT(-74.009607 40.666789)
657983	Dry Dock Wine & Spirits	POINT(-74.0149815653 40.6757023736)
100459	IKEA	POINT(-74.0109229088 40.6720781272)
68423	Rocky Sullivan's Tap Room	POINT(-74.0123219333 40.67417395)
1162034	Red Hook Mercado	POINT(-74.0145639667 40.67615875)
1077137	Sixpoint Brewery	POINT(-74.0118086263 40.6738556021)
617632	The Good Fork	POINT(-74.014248848 40.6760327414)
68437	Botanica	POINT(-74.0154780167 40.6769557833)
1083440	F&M Bagels	POINT(-74.0141880418 40.6760801732)
3465599	Valentino Pier	POINT(-74.018262381 40.678608585)
7377623	Red Hook Community Farm	POINT(-74.009997329 40.672406355)
1464022	Foxy & Winston	POINT(-74.01349 40.676191)
380775	Play Pen Gentlemans Club	POINT(-74.0107672333 40.6551262833)
68150	Fort Defiance	POINT(-74.0134978294 40.676626727)
7341828	Brooklyn BDHD ... New York	POINT(-74.010929376 40.674860162)
402873	Costco	POINT(-74.0098967183 40.6551148978)
68235	Baked	POINT(-74.0133284 40.6770547667)
6725712	Everbrite Mercantile Company	POINT(-74.0130014322 40.677108494)
2718138	Hope & Anchor	POINT(-74.0129554249 40.677160349)
756695	FlemBall Rooftop	POINT(-74.0134500957 40.6775904069)
6530464	Red Hook homestead	POINT(-74.010056379 40.674899829)
68206	Hope & Anchor	POINT(-74.01276295 40.6776883833)
372859	O'Barone	POINT(-74.0124282837 40.6775970459)
429594	Dungon	POINT(-74.0228950852 40.6467593065)
68006	Anselmo's Coal Brick Oven Pizza	POINT(-74.0125434684 40.6778469139)
996413	Ellis Island	POINT(-74.008237 40.67409914)
1120406	Diego Restaurant	POINT(-74.0130952705 40.678502671)
7057767	Sleep Inn	POINT(-74.014990431 40.648900855)
6679201	Irish Haven	POINT(-74.021135 40.646188)
2964061	The Spot	POINT(-74.00999051 40.65179485)
1037997	Lutheran Medical Center	POINT(-74.0200140251 40.6463450935)
68290	Home/Made	POINT(-74.0110934051 40.6787109031)
1045628	Organic Deli & Healthy Foods	POINT(-74.0203730798 40.6457054885)
1573185	Portside	POINT(-74.0122961998 40.6797498465)
6716449	Dunkin' Donuts	POINT(-74.005574584 40.6556046009)
1038886	Red Hook Park	POINT(-74.0046572685 40.6718014582)
1446656	Bait And Tackle	POINT(-74.011090433 40.679051333)
236222	Middle Of The Harbor	POINT(-74.0536895667 40.6569864)
187723	Brooklyn Ice House	POINT(-74.0108281333 40.67904425)
1045731	Dunkin' Donuts	POINT(-74.0211642572 40.6451365478)
764326	Kevin's	POINT(-74.0105816734 40.6793275122)
5082659	Red Hook Pier	POINT(-74.014817082 40.682118155)
1204437	Red Hook Lobster Pound	POINT(-74.0103939118 40.6798644751)
1038879	Red Hook Ball Fields Food Vendors	POINT(-74.0029084682 40.6714922385)
61418	McDonald's	POINT(-74.0055059333 40.6531235833)
7104559	Andy & Devin's Apt	POINT(-74.006769795 40.651155633)
679318	Coffey Park	POINT(-74.0073172 40.67834115)
1227853	Jerry's Bagels	POINT(-74.00433445 40.6537612)
6145988	Rossman Farms	POINT(-74.00080075 40.661525502)
1128459	Fabios Helados De Coco & Tropical Ices	POINT(-74.0122700333 40.6468037333)
7558557	Prospect Ave & 4th Ave Subway	POINT(-74.00037699 40.66429573)
7403273	Days Inn Brooklyn	POINT(-74.005233588 40.652027898)
757269	50 Columbus	POINT(-74.01748991 40.64428317)
3713472	Mobile On The Run	POINT(-74.0020264 40.656182933)
7568653	Dean's Place	POINT(-74.008660286 40.680795224)
302309	Clean Rite laundry	POINT(-74.0047005333 40.6515993333)
1323591	KFC	POINT(-74.003170193 40.653454754)
3455314	Stumptown Coffee Roasters	POINT(-74.00857 40.680851)
97095	Monarch Luggage Factory	POINT(-74.0055885944 40.6783709072)
50043	Defonte's Sandwich Shop	POINT(-74.0057637188 40.6787975112)
639223	Suryasta Yoga	POINT(-74.0040353137 40.651621346)
2471232	Dr. David Byrnes Medical Office	POINT(-74.00039 40.671841)
167158	La Flor Bakery	POINT(-74.0051381833 40.6503014333)
1084540	Maria's Bistro Mexicano	POINT(-74.0039952299 40.6514017721)
215046	Melody Lanes	POINT(-74.0027495 40.65269965)
5163410	Evelyn Mini Market	POINT(-74.004749 40.650369)
7350733	Carribbean Princess	POINT(-74.011566639 40.683583287)
169281	The Home Depot	POINT(-73.9985955774 40.6669631549)
169721	Key Foods	POINT(-74.0059797357 40.6491097442)
75077	Tacos Xochimilco	POINT(-74.0074693265 40.6478645781)
524566	El Bohio #3 Restaurant	POINT(-74.0077347067 40.6476341653)
784174	Carmelita Deli & Grocery	POINT(-73.9989280701 40.6597977996)
727318	Sunset Park Diner	POINT(-74.0034876333 40.6514627667)
75017	Tacos Matamoros	POINT(-74.0077763983 40.6475619045)
1183975	Concord	POINT(-73.9980852333 40.66310675)
782255	My House	POINT(-73.9988339667 40.6588818667)
1388291	Vaz House	POINT(-74.020715873 40.641629423)
7466474	Sleep Inn Brooklyn	POINT(-73.9977507667 40.6634991333)
663638	Sunset Park	POINT(-74.00532475 40.6488732)
6938811	T.Y. Trading 	POINT(-73.99993 40.67333)
7556696	Taste of China	POINT(-73.99828255 40.659757117)
348896	Bar Great Harry	POINT(-74.0019302368 40.6766433716)
7175096	Creative Nails	POINT(-74.009303357 40.645789865)
1537999	Oscar's House	POINT(-74.019553709 40.641590555)
907316	Sweet Lorraine Gallery	POINT(-74.0003260648 40.6744027773)
3417204	Styles Barber Shop	POINT(-74.016243 40.64244)
6679162	Irish Haven	POINT(-74.016013 40.64247)
767186	Piramid 	POINT(-74.00091737 40.67560929)
6395835	The King of Cupcakes	POINT(-74.00043612 40.67490959)
1202761	Sunset Bagels	POINT(-74.01065301 40.64472466)
1212131	Ricos Tacos	POINT(-74.010948423 40.644524778)
7536677	Restaurant Depot	POINT(-73.997168541 40.663191595)
1594351	Dunkin' Donuts	POINT(-73.997476995 40.660587259)
1438288	59th Street Subway Station N/R	POINT(-74.0179020166 40.6416195631)
6524262	BP Gas Station	POINT(-74.0001557 40.6750985571)
915419	Owl's Head Park	POINT(-74.0320927167 40.6400275167)
2971968	Dunkin' Donuts	POINT(-74.00059619 40.675992653)
6669945	Superior Auto Care	POINT(-73.9967309333 40.665329)
54864	Moms House	POINT(-74.0188057333 40.64102565)
7242075	Luna Rossa	POINT(-73.99962344 40.674936827)
1335965	Citibank	POINT(-74.012917892 40.642988338)
7507585	CKO Kickboxing	POINT(-73.999531469 40.674830886)
238854	Court & Spark	POINT(-73.9996591529 40.6750785626)
5234325	Cog & Pearl	POINT(-73.999231 40.674505)
752935	Panama's Barber Shop	POINT(-73.9994072 40.6748260833)
6380630	Dubuque	POINT(-73.99955 40.675088)
7412859	Brooklyn Liquidators	POINT(-74.0062680667 40.6822727667)
21647	Brooklyn Battery Tunnel	POINT(-74.0055725404 40.6817564754)
7148128	Pulse Fitness	POINT(-74.010701411 40.643796505)
5163086	Speedy's Place	POINT(-74.018058 40.640946)
3475069	clean rite laundry	POINT(-73.99619007 40.66554129)
1183453	Concord	POINT(-73.997176 40.670701)
496467	Time Warner Cable	POINT(-73.9972565833 40.6577887333)
857185	Jalopy Theater	POINT(-74.0045320986 40.681237609)
7561501	Jules Coffee Shop	POINT(-73.99675452 40.65933626)
5592496	Love My Bagels	POINT(-74.018402839 40.640697194)
784017	Owl's Head Park Playground	POINT(-74.0309295333 40.6392866833)
6805893	Brooklyn Brainery	POINT(-73.9991035388 40.6752126056)
1559206	Pier 17	POINT(-74.00443536 40.68133163)
663764	Sunset Park Playground	POINT(-74.0043046333 40.6476923333)
1408687	My Place	POINT(-74.00670115 40.64573499)
7045745	Fat Cat Wines	POINT(-73.9990753667 40.6754538167)
7133981	sottovoche	POINT(-73.997981 40.673663)
7518655	Mezcal	POINT(-73.9992720167 40.67607475)
7445394	Brooklyn Motor Inn	POINT(-74.003592 40.680988)
65864	Buttermilk Channel	POINT(-73.9991286198 40.6759488674)
3763230	Best Western Prospect Park Hotel	POINT(-73.99618816 40.65921825)
4751866	Palo Cortado	POINT(-73.999074 40.676123)
7351094	George's Restaurant	POINT(-74.0142649412 40.6413942575)
1942769	69th Street Pier	POINT(-74.037882916 40.639539243)
6098519	Second Cycle Laundromat	POINT(-74.019015145 40.639859892)
1187976	Maritime (Casa De Awesome BKLYN)	POINT(-74.002964625 40.680908966)
867212	Sugar Lounge	POINT(-74.011485 40.686509)
108186	Naturally Delicious	POINT(-73.9988369667 40.6762018)
6911199	Met Foods	POINT(-74.01495 40.640961)
6468530	Brookvin	POINT(-73.99817347 40.67533266)
711933	Fig Leaf Gardens	POINT(-74.00368267 40.68177491)
473989	F Line Bagels	POINT(-73.99770185 40.6747223667)
687807	Brooklyn New School	POINT(-74.0014092167 40.6797947)
61105	Johnny's Pizza	POINT(-74.0152876914 40.6405803141)
7582487	Laundromat 	POINT(-74.0158742666 40.6403803825)
1557579	Fumi	POINT(-73.99753981 40.67473971)
7563197	Brothers Pizza	POINT(-73.994778401 40.663424249)
2659125	Smith+9th st. Deli Grocery	POINT(-73.9974123 40.674611567)
2658887	9th st. Luncheonette	POINT(-73.997408667 40.6746116)
122246	Le Petit Café	POINT(-73.9987513964 40.6768213568)
56794	Rite Aid Pharmacy	POINT(-74.0194340833 40.6393307333)
6285538	DiMattina playground	POINT(-74.0019920229 40.6808411855)
1181259	Three Jolly Pigeons	POINT(-74.02256917 40.63856869)
329869	Smith—9th Streets Station	POINT(-73.9969003201 40.6743077122)
4887674	Summit St Community Garden	POINT(-74.0035790205 40.6823891401)
318486	Lowe's	POINT(-73.9959025333 40.6723737667)
7307945	C-monsters Butcher Ship	POINT(-73.994435467 40.66689475)
1064365	Guerrero Food Center	POINT(-73.994615078 40.6604000685)
3050265	Bar 718	POINT(-73.994553265 40.660567395)
1009061	Gateway City Church	POINT(-74.02236002 40.638363)
62172	Green-Wood Cemetery	POINT(-73.9955238833 40.6568817)
632922	Prime Meats	POINT(-73.9982469967 40.6770868146)
7180421	Moonshine	POINT(-74.00349 40.682695)
1190455	Black Gold Records	POINT(-73.9982973614 40.6773265332)
11972	Observation Deck on the Statue of Liberty	POINT(-74.04364585 40.6889498167)
732255	Heights Prime Meats	POINT(-74.00361031 40.68300807)
378211	Frankies Spuntino	POINT(-73.9981642838 40.6774742592)
292479	Abilenes	POINT(-73.99779421 40.67701816)
162622	BP	POINT(-74.0207756833 40.6382864333)
1217668	Sliceria	POINT(-74.020906145 40.638235505)
65871	Prime Meats	POINT(-73.9981705371 40.6776397522)
813087	Taqueria D.F.	POINT(-73.9939442944 40.660585878)
2658522	Find	POINT(-73.995785883 40.6738352)
58064	Rocky & Nicky's	POINT(-74.0316860105 40.6374788496)
7276943	Steinhof	POINT(-73.994166 40.669564)
7134878	Mario's French Cleaners	POINT(-73.994166 40.669564)
98134	South Brooklyn Pizza	POINT(-73.9982492934 40.6779186482)
7037059	Flat	POINT(-74.002999064 40.682838653)
7387031	Casa Pepe	POINT(-74.031660415 40.637447662)
98138	P.J. Hanley's Tavern	POINT(-73.99799425 40.6778112667)
1594343	Dunkin' Donuts	POINT(-73.9937460423 40.6684081005)
897797	Peppe's Pizza Panini	POINT(-73.9933615819 40.6651327501)
7282952	Mother Cabrini Park	POINT(-74.004745255 40.684427035)
1502148	New York Harbor High School	POINT(-74.019861967 40.690775733)
972698	Nine D	POINT(-73.9980630576 40.6782113406)
11975	Statue of Liberty	POINT(-74.0445041656 40.6891968241)
131618	Vinny's Pizzeria	POINT(-73.99806505 40.67825775)
2115470	Quest Diagnostics	POINT(-73.993207 40.662355)
1116584	Lowlands Bar	POINT(-73.9934742167 40.6685100333)
55209	Caputo's Fine Foods	POINT(-73.9978181 40.678125)
913393	IAM	POINT(-73.9930156693 40.6655017569)
11978	Statue of Liberty Pier	POINT(-74.0433239833 40.6897544833)
7627126	Luigi's Pizza	POINT(-73.993108052 40.661588942)
7160165	La Quinta - Brooklyn	POINT(-73.99338135 40.6690650833)
2020302	4th Avenue/Prospect Avenue Station	POINT(-73.9928877354 40.6653807868)
206736	The Jalopy	POINT(-74.00299721 40.68358182)
1029740	Scooter Bottega	POINT(-74.0049975167 40.6850440333)
1024245	Crop to Cup	POINT(-73.9932403582 40.6686319888)
58084	Simply Speaking	POINT(-74.0295871813 40.6368683628)
925881	Feeney's Pub	POINT(-74.0173012018 40.6383633614)
1424578	Meatopia	POINT(-74.018967283 40.690967817)
74383	Quarter	POINT(-73.9929280813 40.6618506462)
